           1 	   90.11282     	   89.91776     	   89.81263     	   90.18340    
          10 	   90.05971     	   89.72361     	   90.21294     	   89.98820    
          20 	   90.06631     	   89.82180     	   90.00974     	   89.76384    
          30 	   90.33530     	   89.96973     	   89.88364     	   90.14711    
          40 	   90.04336     	   90.02968     	   89.88385     	   89.82197    
          50 	   89.86573     	   90.13250     	   90.19601     	   89.83544    
          60 	   90.00925     	   90.61389     	   90.15061     	   90.17944    
          70 	   89.77056     	   90.34718     	   89.99983     	   89.68038    
          80 	   89.96793     	   90.16397     	   90.07053     	   90.25298    
          90 	   89.81653     	   89.97731     	   89.91183     	   90.07348    
         100 	   89.81232     	   89.85984     	   90.15378     	   89.81197    
         110 	   89.90479     	   89.99857     	   89.73223     	   89.95001    
         120 	   90.22609     	   89.28875     	   89.90017     	   89.88567    
         130 	   89.95768     	   89.91734     	   90.09214     	   90.04576    
         140 	   89.65110     	   90.06049     	   90.17053     	   89.95796    
         150 	   89.96951     	   90.04667     	   89.98141     	   90.22292    
         160 	   89.87081     	   90.43892     	   90.13558     	   89.91299    
         170 	   90.03273     	   90.51271     	   90.24231     	   89.78905    
         180 	   89.80710     	   89.60748     	   90.18272     	   89.93067    
         190 	   90.01069     	   90.00261     	   90.16232     	   90.18465    
         200 	   89.80370     	   90.23608     	   90.35989     	   89.62879    
         210 	   89.59664     	   90.18098     	   89.96724     	   89.86935    
         220 	   89.98008     	   89.64070     	   90.07941     	   90.30714    
         230 	   90.18178     	   89.95191     	   90.11084     	   90.00470    
         240 	   89.99748     	   90.63044     	   90.10899     	   89.92801    
         250 	   90.00476     	   90.32238     	   89.91434     	   90.22388    
         260 	   90.02129     	   89.51997     	   90.27700     	   90.17117    
         270 	   89.95284     	   89.03819     	   89.82936     	   90.10751    
         280 	   90.15079     	   89.30071     	   89.90368     	   89.85370    
         290 	   90.21355     	   89.53071     	   89.97438     	   90.21468    
         300 	   89.91248     	   89.25144     	   90.17397     	   90.22989    
         310 	   90.00402     	   89.71074     	   89.99540     	   90.00673    
         320 	   90.19599     	   89.80268     	   90.30973     	   90.24453    
         330 	   90.07154     	   89.65163     	   90.20051     	   90.15083    
