       0,   1.000,   4.533
       1,   0.999,   4.528
       2,   0.998,   4.525
       3,   0.998,   4.523
       4,   0.997,   4.519
       5,   0.997,   4.517
       6,   0.996,   4.516
       7,   0.996,   4.514
       8,   0.995,   4.511
       9,   0.995,   4.508
      10,   0.993,   4.502
      11,   0.993,   4.501
      12,   0.992,   4.497
      13,   0.991,   4.494
      14,   0.991,   4.490
      15,   0.990,   4.488
      16,   0.989,   4.484
      17,   0.989,   4.483
      18,   0.988,   4.479
      19,   0.988,   4.477
      20,   0.987,   4.474
      21,   0.986,   4.471
      22,   0.986,   4.467
      23,   0.985,   4.465
      24,   0.984,   4.459
      25,   0.983,   4.456
      26,   0.983,   4.454
      27,   0.982,   4.450
      28,   0.981,   4.448
      29,   0.981,   4.445
      30,   0.980,   4.442
      31,   0.979,   4.439
      32,   0.979,   4.437
      33,   0.978,   4.434
      34,   0.978,   4.433
      35,   0.978,   4.431
      36,   0.977,   4.428
      37,   0.977,   4.427
      38,   0.976,   4.425
      39,   0.976,   4.422
      40,   0.975,   4.417
      41,   0.974,   4.416
      42,   0.973,   4.411
      43,   0.972,   4.407
      44,   0.972,   4.405
      45,   0.971,   4.401
      46,   0.971,   4.399
      47,   0.970,   4.396
      48,   0.969,   4.394
      49,   0.969,   4.392
      50,   0.968,   4.388
      51,   0.968,   4.386
      52,   0.967,   4.384
      53,   0.967,   4.382
      54,   0.966,   4.379
      55,   0.966,   4.377
      56,   0.965,   4.373
      57,   0.964,   4.370
      58,   0.963,   4.366
      59,   0.963,   4.364
      60,   0.962,   4.361
      61,   0.962,   4.359
      62,   0.961,   4.356
      63,   0.961,   4.354
      64,   0.960,   4.353
      65,   0.960,   4.349
      66,   0.959,   4.348
      67,   0.959,   4.344
      68,   0.958,   4.341
      69,   0.957,   4.338
      70,   0.957,   4.336
      71,   0.956,   4.333
      72,   0.956,   4.331
      73,   0.955,   4.328
      74,   0.954,   4.326
      75,   0.954,   4.323
      76,   0.953,   4.320
      77,   0.953,   4.318
      78,   0.952,   4.315
      79,   0.952,   4.314
      80,   0.951,   4.312
      81,   0.951,   4.309
      82,   0.950,   4.307
      83,   0.949,   4.303
      84,   0.949,   4.301
      85,   0.948,   4.298
      86,   0.948,   4.296
      87,   0.947,   4.293
      88,   0.947,   4.292
      89,   0.947,   4.290
      90,   0.946,   4.287
      91,   0.945,   4.283
      92,   0.944,   4.281
      93,   0.944,   4.279
      94,   0.944,   4.276
      95,   0.943,   4.274
      96,   0.943,   4.272
      97,   0.942,   4.269
      98,   0.941,   4.265
      99,   0.941,   4.264
     100,   0.940,   4.262
     101,   0.940,   4.260
     102,   0.939,   4.257
     103,   0.939,   4.255
     104,   0.938,   4.253
     105,   0.938,   4.250
     106,   0.937,   4.247
     107,   0.937,   4.246
     108,   0.936,   4.243
     109,   0.936,   4.242
     110,   0.936,   4.241
     111,   0.935,   4.236
     112,   0.934,   4.235
     113,   0.934,   4.232
     114,   0.933,   4.230
     115,   0.933,   4.228
     116,   0.932,   4.225
     117,   0.932,   4.223
     118,   0.931,   4.220
     119,   0.930,   4.217
     120,   0.930,   4.214
     121,   0.929,   4.213
     122,   0.929,   4.210
     123,   0.928,   4.208
     124,   0.928,   4.207
     125,   0.928,   4.204
     126,   0.927,   4.202
     127,   0.927,   4.200
     128,   0.926,   4.197
     129,   0.926,   4.195
     130,   0.925,   4.193
     131,   0.925,   4.191
     132,   0.924,   4.188
     133,   0.923,   4.185
     134,   0.923,   4.184
     135,   0.922,   4.180
     136,   0.922,   4.179
     137,   0.921,   4.176
     138,   0.921,   4.173
     139,   0.920,   4.171
     140,   0.920,   4.169
     141,   0.919,   4.167
     142,   0.919,   4.165
     143,   0.919,   4.163
     144,   0.918,   4.161
     145,   0.918,   4.159
     146,   0.917,   4.157
     147,   0.917,   4.155
     148,   0.916,   4.153
     149,   0.916,   4.152
     150,   0.916,   4.150
     151,   0.915,   4.147
     152,   0.914,   4.145
     153,   0.914,   4.143
     154,   0.914,   4.140
     155,   0.913,   4.139
     156,   0.913,   4.136
     157,   0.912,   4.134
     158,   0.912,   4.132
     159,   0.911,   4.130
     160,   0.911,   4.128
     161,   0.910,   4.126
     162,   0.910,   4.123
     163,   0.909,   4.122
     164,   0.909,   4.120
     165,   0.908,   4.118
     166,   0.908,   4.116
     167,   0.908,   4.113
     168,   0.907,   4.112
     169,   0.906,   4.108
     170,   0.906,   4.106
     171,   0.906,   4.105
     172,   0.905,   4.102
     173,   0.905,   4.101
     174,   0.904,   4.098
     175,   0.904,   4.095
     176,   0.903,   4.091
     177,   0.902,   4.089
     178,   0.902,   4.087
     179,   0.901,   4.085
     180,   0.901,   4.084
     181,   0.901,   4.082
     182,   0.900,   4.080
     183,   0.900,   4.078
     184,   0.899,   4.077
     185,   0.899,   4.075
     186,   0.899,   4.073
     187,   0.898,   4.072
     188,   0.898,   4.070
     189,   0.897,   4.067
     190,   0.897,   4.064
     191,   0.896,   4.062
     192,   0.896,   4.061
     193,   0.896,   4.059
     194,   0.895,   4.056
     195,   0.895,   4.056
     196,   0.894,   4.054
     197,   0.894,   4.052
     198,   0.893,   4.050
     199,   0.893,   4.048
     200,   0.893,   4.046
     201,   0.892,   4.044
     202,   0.892,   4.044
     203,   0.892,   4.041
     204,   0.891,   4.039
     205,   0.891,   4.038
     206,   0.890,   4.035
     207,   0.890,   4.033
     208,   0.890,   4.032
     209,   0.889,   4.030
     210,   0.888,   4.027
     211,   0.888,   4.025
     212,   0.888,   4.024
     213,   0.887,   4.021
     214,   0.887,   4.018
