    4    2    6 1   2214.6   49.7  18.964
    5    4    1 1   3813.6   70.3  18.957
    4    0    7 1   2733.0   89.1  18.927
    5    2    5 1    468.0   29.1  18.866
    6    3    0 1   2929.9   78.9  18.797
    4    4    4 1    484.3   40.4  18.787
    1    1    8 1   4297.4  149.6  18.758
    6    3    1 1   2056.9   45.6  18.658
    8    0    0 1   1260.6   66.8  18.650
    5    3    4 1   3045.9   61.7  18.640
    7    0    4 1    600.4   36.2  18.640
    2    0    8 1    136.0   60.8  18.612
    5    4    2 1   1572.0   40.5  18.539
    5    1    6 1   2784.7   60.7  18.521
    8    0    1 1   1796.7   55.7  18.514
    3    2    7 1    759.5   32.8  18.486
    7    1    3 1   3458.4   70.7  18.439
    6    1    5 1   1803.8   43.2  18.290
    6    3    2 2   2209.7   48.2  18.259
    7    2    0 1    610.1   40.7  18.227
    6    2    4 1   1079.2   33.4  18.219
    4    1    7 1   1928.8   47.2  18.209
    2    1    8 1   2564.2   55.1  18.192
    8    0    2 1    100.8   50.5  18.124
    7    2    1 1   1094.2   33.2  18.101
    3    0    8 1   1555.4   57.4  17.928
    5    4    3 1   1193.7   33.2  17.900
    6    0    6 1   3725.0  107.8  17.846
    7    2    2 1   1038.4   33.8  17.736
    4    3    6 1   3559.7   69.8  17.719
    5    0    7 1    969.3   50.3  17.690
    6    3    3 1   3527.1   65.4  17.648
    4    4    5 1    675.2   39.6  17.640
    7    1    4 1    887.5   32.7  17.575
    2    2    8 1    192.6   51.0  17.551
    8    0    3 1   2477.6   79.7  17.526
    7    0    5 1   1729.4   63.8  17.518
    5    3    5 1   3174.3   64.2  17.518
    5    2    6 1   2695.8   57.2  17.475
    8    1    0 1    803.7   44.2  17.462
    3    3    7 1   3876.3  106.5  17.446
    3    1    8 1   2164.3   47.7  17.431
    8    1    1 1   2829.6   56.5  17.351
    4    2    7 1   2465.5   51.2  17.328
    5    5    0 1   1501.1   78.1  17.228
    7    2    3 2   1654.6   34.3  17.174
    6    2    5 1   1450.9   36.1  17.166
    5    5    1 1   1284.9   79.7  17.121
    6    4    0 1    644.7   52.8  17.114
    5    4    4 1   1622.9   39.3  17.107
    4    0    8 1   2373.9   73.8  17.085
    8    1    2 1   1227.2   35.6  17.029
    6    1    6 1   1590.6   40.6  17.014
    6    4    1 1   1448.7   35.6  17.009
    5    1    7 1   2569.4   54.3  16.988
    1    0    9 1   1425.3   53.1  16.973
    6    3    4 1   1669.0   38.7  16.886
    5    5    2 1   3072.0   82.6  16.811
    7    3    0 1   1628.2   91.2  16.786
    8    0    4 1    554.5   54.2  16.779
    3    2    8 1   1270.4   35.0  16.759
    1    1    9 1   3931.9  109.8  16.758
    6    4    2 1    879.4   30.1  16.705
    7    3    1 1   3338.5   62.3  16.687
    2    0    9 1    237.4   43.0  16.653
    7    1    5 1   2270.2   49.2  16.625
    9    0    0 1   1134.7  117.4  16.578
    4    1    8 1   2710.5   54.8  16.551
    8    1    3 1   2461.5   51.7  16.529
    4    4    6 1   1722.7   59.8  16.487
    9    0    1 1   3052.9   86.2  16.482
    7    2    4 1   1787.5   42.2  16.470
    6    0    7 1   1352.1   50.9  16.462
    7    3    2 1   2235.3   46.7  16.400
    7    0    6 1   2368.3   76.4  16.387
    5    3    6 1    507.8   29.2  16.387
    4    3    7 1   1545.3   38.3  16.363
    2    1    9 1   5054.7   98.9  16.350
    5    5    3 1   1949.7   77.2  16.330
    8    2    0 1    699.7   48.9  16.279
    6    4    3 1   1064.0   35.5  16.233
    5    4    5 1   2705.0   54.7  16.227
    9    0    2 1   2529.1   73.9  16.205
    8    2    1 1   1331.4   35.4  16.188
    5    2    7 1   1922.5   43.2  16.170
    5    0    8 2   6512.2  165.3  16.158
    3    0    9 1   5515.6  149.0  16.157
