       1,   0.523
       2,   0.458
       3,   0.527
       4,   0.529
       5,   0.495
       6,   0.525
       7,   0.461
       8,   0.523
       9,   0.528
      10,   0.486
      11,   0.531
      12,   0.453
      13,   0.524
      14,   0.516
      15,   0.536
      16,   0.446
      17,   0.461
      18,   0.522
      19,   0.524
      20,   0.524
      21,   0.520
      22,   0.529
      23,   0.486
      24,   0.449
      25,   0.487
      26,   0.530
      27,   0.532
      28,   0.525
      29,   0.524
      30,   0.530
      31,   0.528
      32,   0.533
      33,   0.445
      34,   0.513
      35,   0.525
      36,   0.455
      37,   0.453
      38,   0.489
      39,   0.447
      40,   0.530
      41,   0.530
      42,   0.447
      43,   0.497
      44,   0.527
      45,   0.526
      46,   0.450
      47,   0.527
      48,   0.532
      49,   0.525
      50,   0.535
      51,   0.522
      52,   0.528
      53,   0.532
      54,   0.528
      55,   0.528
      56,   0.524
      57,   0.520
      58,   0.447
      59,   0.456
      60,   0.494
      61,   0.515
      62,   0.526
      63,   0.451
      64,   0.521
      65,   0.447
      66,   0.517
      67,   0.519
      68,   0.513
      69,   0.528
      70,   0.495
      71,   0.532
      72,   0.528
      73,   0.447
      74,   0.534
      75,   0.529
      76,   0.534
      77,   0.483
      78,   0.447
      79,   0.532
      80,   0.522
      81,   0.530
      82,   0.534
      83,   0.449
      84,   0.450
      85,   0.529
      86,   0.447
      87,   0.531
      88,   0.447
      89,   0.524
      90,   0.524
      91,   0.524
      92,   0.509
      93,   0.444
      94,   0.454
      95,   0.456
      96,   0.451
      97,   0.529
      98,   0.526
      99,   0.512
     100,   0.524
