       1,   0.167
       2,   0.887
       3,   0.164
       4,   0.371
       5,   0.843
       6,   0.069
       7,   0.868
       8,   0.144
       9,   0.111
      10,   0.853
      11,   0.496
      12,   0.880
      13,   0.115
      14,   0.122
      15,   0.170
      16,   0.887
      17,   0.876
      18,   0.106
      19,   0.149
      20,   0.114
      21,   0.126
      22,   0.142
      23,   0.853
      24,   0.899
      25,   0.842
      26,   0.147
      27,   0.093
      28,   0.184
      29,   0.097
      30,   0.109
      31,   0.102
      32,   0.093
      33,   0.900
      34,   0.781
      35,   0.613
      36,   0.879
      37,   0.885
      38,   0.852
      39,   0.898
      40,   0.138
      41,   0.154
      42,   0.895
      43,   0.825
      44,   0.096
      45,   0.137
      46,   0.879
      47,   0.419
      48,   0.093
      49,   0.444
      50,   0.138
      51,   0.146
      52,   0.105
      53,   0.103
      54,   0.156
      55,   0.462
      56,   0.118
      57,   0.110
      58,   0.899
      59,   0.891
      60,   0.854
      61,   0.115
      62,   0.162
      63,   0.880
      64,   0.126
      65,   0.886
      66,   0.699
      67,   0.720
      68,   0.770
      69,   0.190
      70,   0.839
      71,   0.439
      72,   0.110
      73,   0.898
      74,   0.524
      75,   0.142
      76,   0.190
      77,   0.865
      78,   0.887
      79,   0.520
      80,   0.536
      81,   0.119
      82,   0.113
      83,   0.894
      84,   0.883
      85,   0.112
      86,   0.889
      87,   0.389
      88,   0.896
      89,   0.359
      90,   0.093
      91,   0.093
      92,   0.712
      93,   0.896
      94,   0.879
      95,   0.881
      96,   0.895
      97,   0.130
      98,   0.116
      99,   0.713
     100,   0.178
