       1,   0.591
       2,   0.412
       3,   0.490
       4,   0.518
       5,   0.437
       6,   0.523
       7,   0.390
       8,   0.494
       9,   0.551
      10,   0.467
      11,   0.536
      12,   0.378
      13,   0.550
      14,   0.525
      15,   0.550
      16,   0.408
      17,   0.399
      18,   0.536
      19,   0.547
      20,   0.486
      21,   0.538
      22,   0.503
      23,   0.495
      24,   0.343
      25,   0.472
      26,   0.588
      27,   0.553
      28,   0.548
      29,   0.483
      30,   0.522
      31,   0.561
      32,   0.560
      33,   0.393
      34,   0.512
      35,   0.522
      36,   0.432
      37,   0.426
      38,   0.468
      39,   0.396
      40,   0.536
      41,   0.521
      42,   0.409
      43,   0.498
      44,   0.538
      45,   0.560
      46,   0.436
      47,   0.545
      48,   0.549
      49,   0.540
      50,   0.566
      51,   0.536
      52,   0.588
      53,   0.523
      54,   0.523
      55,   0.522
      56,   0.528
      57,   0.502
      58,   0.371
      59,   0.428
      60,   0.454
      61,   0.515
      62,   0.525
      63,   0.399
      64,   0.519
      65,   0.391
      66,   0.537
      67,   0.564
      68,   0.487
      69,   0.563
      70,   0.444
      71,   0.534
      72,   0.557
      73,   0.359
      74,   0.530
      75,   0.551
      76,   0.530
      77,   0.433
      78,   0.372
      79,   0.550
      80,   0.502
      81,   0.535
      82,   0.500
      83,   0.371
      84,   0.410
      85,   0.541
      86,   0.398
      87,   0.527
      88,   0.331
      89,   0.495
      90,   0.561
      91,   0.516
      92,   0.476
      93,   0.363
      94,   0.406
      95,   0.395
      96,   0.373
      97,   0.555
      98,   0.506
      99,   0.444
     100,   0.503
