       1,    90.0,    90.0,    90.0,    89.3,    89.3,    89.1,    88.1,    88.7,    92.1
       2,    65.8,    65.8,    65.8,    55.8,    51.1,    41.2,    31.8,    34.1,    43.2
       3,    90.1,    90.1,    90.1,    90.4,    90.3,    90.4,    90.8,    89.0,    92.7
       4,    89.9,    89.9,    89.9,    89.1,    89.5,    89.2,    88.1,    91.1,    90.1
       5,   100.1,   100.1,   100.1,   103.2,   108.1,   112.1,   114.8,   106.9,   100.1
       6,    90.2,    90.2,    90.2,    89.8,    89.2,    88.9,    91.8,    88.5,    84.5
       7,    61.5,    61.5,    61.5,    50.5,    49.0,    42.2,    32.4,    35.5,    44.4
       8,    90.1,    90.1,    90.1,    90.1,    89.9,    90.3,    92.3,    91.4,    90.1
       9,    90.1,    90.1,    90.1,    90.5,    90.6,    91.2,    91.1,    94.2,    90.2
      10,   101.1,   101.1,   101.1,   105.8,   109.8,   115.2,   117.7,   107.1,   102.7
      11,    89.8,    89.8,    89.8,    90.5,    90.7,    90.3,    88.9,    91.1,    93.5
      12,    61.5,    61.5,    61.5,    49.9,    47.9,    42.2,    32.6,    35.8,    46.1
      13,    90.6,    90.6,    90.6,    90.5,    91.4,    91.5,    91.7,    90.1,    94.8
      14,    89.9,    89.9,    89.9,    89.4,    89.6,    89.4,    89.2,    89.5,    92.9
      15,    89.4,    89.4,    89.4,    89.2,    88.7,    88.6,    89.1,    86.8,    82.5
      16,    59.2,    59.2,    59.2,    47.0,    45.9,    40.6,    32.2,    35.3,    45.0
      17,    60.6,    60.6,    60.6,    49.2,    47.5,    41.5,    33.4,    37.7,    46.6
      18,    90.0,    90.0,    90.0,    90.0,    89.9,    89.9,    88.9,    89.0,    89.6
      19,    90.6,    90.6,    90.6,    90.9,    91.1,    91.2,    91.6,    90.5,    92.9
      20,    89.9,    89.9,    89.9,    89.8,    90.3,    90.2,    91.2,    90.9,    93.4
      21,    90.4,    90.4,    90.4,    90.1,    90.1,    89.9,    90.8,    90.6,    88.9
      22,    90.0,    90.0,    90.0,    90.2,    89.7,    88.7,    85.8,    86.4,    88.2
      23,    97.2,    97.2,    97.2,   103.5,   110.1,   116.0,   118.4,   111.3,   100.9
      24,    58.6,    58.6,    58.6,    47.2,    45.3,    40.9,    32.2,    34.2,    41.2
      25,   101.4,   101.4,   101.4,   108.7,   111.6,   113.0,   120.1,   113.9,   107.0
      26,    90.2,    90.2,    90.2,    90.3,    90.7,    92.0,    91.9,    92.3,    96.4
      27,    89.8,    89.8,    89.8,    90.0,    90.0,    89.0,    88.7,    90.0,    85.8
      28,    90.6,    90.6,    90.6,    91.2,    91.1,    92.0,    91.9,    94.0,    95.7
      29,    89.9,    89.9,    89.9,    89.9,    90.3,    89.9,    90.2,    89.6,    90.4
      30,    90.6,    90.6,    90.6,    90.2,    90.4,    90.5,    93.0,    90.6,    91.4
      31,    89.6,    89.6,    89.6,    89.5,    89.5,    91.1,    91.1,    90.4,    87.4
      32,    89.6,    89.6,    89.6,    89.9,    90.7,    91.5,    93.0,    92.3,    92.1
      33,    58.3,    58.3,    58.3,    46.1,    45.6,    40.8,    31.1,    31.1,    39.8
      34,    90.6,    90.6,    90.6,    89.8,    92.7,    99.3,   124.5,   128.4,   122.6
      35,    90.4,    90.4,    90.4,    91.1,    90.5,    90.3,    90.3,    93.8,    91.6
      36,    61.6,    61.6,    61.6,    49.8,    47.3,    41.5,    32.4,    35.5,    45.5
      37,    60.9,    60.9,    60.9,    49.2,    47.9,    42.6,    32.3,    34.9,    42.2
      38,   100.7,   100.7,   100.7,   109.1,   113.0,   115.3,   119.1,   110.5,   102.3
      39,    60.5,    60.5,    60.5,    47.9,    45.6,    39.7,    31.6,    34.0,    41.4
      40,    89.6,    89.6,    89.6,    89.3,    88.7,    89.0,    88.8,    91.5,    90.0
      41,    90.5,    90.5,    90.5,    90.8,    91.3,    91.8,    92.3,    94.0,    89.3
      42,    59.6,    59.6,    59.6,    47.4,    46.7,    41.7,    33.1,    35.1,    42.6
      43,    93.3,    93.3,    93.3,    94.4,    91.0,    93.7,    89.0,    79.9,    77.7
      44,    90.3,    90.3,    90.3,    89.9,    90.4,    89.5,    91.4,    89.6,    93.3
      45,    90.1,    90.1,    90.1,    90.2,    90.2,    91.2,    90.6,    91.3,    95.6
      46,    60.4,    60.4,    60.4,    49.0,    48.1,    42.8,    33.4,    37.8,    45.6
      47,    89.8,    89.8,    89.8,    89.3,    90.3,    90.6,    92.5,    93.3,    96.7
      48,    90.1,    90.1,    90.1,    90.1,    90.4,    90.4,    90.3,    87.3,    86.1
      49,    90.9,    90.9,    90.9,    90.8,    91.2,    90.2,    91.1,    93.3,    92.1
      50,    89.8,    89.8,    89.8,    89.4,    89.2,    88.8,    89.7,    89.0,    90.3
      51,    90.5,    90.5,    90.5,    90.6,    90.8,    91.0,    90.8,    88.2,    87.8
      52,    90.3,    90.3,    90.3,    90.0,    90.2,    90.4,    89.5,    86.7,    86.4
      53,    90.0,    90.0,    90.0,    89.7,    90.2,    90.4,    92.4,    92.1,    92.8
      54,    90.0,    90.0,    90.0,    90.2,    90.8,    90.6,    89.7,    88.2,    87.2
      55,    90.1,    90.1,    90.1,    90.4,    91.1,    91.6,    93.0,    96.4,    94.7
      56,    90.2,    90.2,    90.2,    90.2,    90.3,    90.3,    90.8,    91.7,    92.5
      57,    90.3,    90.3,    90.3,    90.4,    90.2,    90.4,    89.3,    87.8,    84.7
      58,    60.6,    60.6,    60.6,    47.9,    46.0,    41.4,    31.6,    32.4,    40.5
