    6    1    4 1   1247.1   12.7  16.931
    6    3    3 1   2678.9   28.6  16.893
    1    0    7 1    237.0    3.8  16.849
    4    0    6 1   2332.9   34.3  16.757
    1    1    7 1    359.0    5.6  16.699
    6    4    2 1    931.4   10.8  16.672
    5    2    5 1   3896.4   40.0  16.635
    4    1    6 1   1497.9   15.8  16.609
    7    2    2 1   2013.8   19.3  16.527
    6    2    4 1   1614.5   16.3  16.486
    3    3    6 1   1619.8   25.6  16.465
    7    3    0 1    751.0   11.4  16.445
    2    0    7 1   2194.8   29.4  16.410
    5    4    4 1   1390.7   15.3  16.345
    7    0    3 2    546.8    8.1  16.310
    7    3    1 1    782.6    8.6  16.290
    2    1    7 1    714.5    7.0  16.270
    4    4    5 1    671.3   10.7  16.212
    4    2    6 1    903.3   10.1  16.188
    7    1    3 1   2288.9   21.8  16.173
    5    5    3 1    375.0    7.2  16.173
    6    5    0 1   1529.6   26.0  16.035
    5    3    5 1    407.2    5.1  15.947
    6    4    3 1   1634.2   18.3  15.910
    6    5    1 1   1811.8   21.4  15.892
    2    2    7 1   2119.8   28.4  15.874
    7    3    2 1   1543.8   16.4  15.851
    6    3    4 1   1706.5   18.5  15.815
    7    2    3 1   1189.3   11.9  15.783
    3    0    7 1   1728.3   23.4  15.748
    6    0    5 1     91.0    4.9  15.695
    8    0    0 1   2909.5   55.2  15.655
    3    1    7 1   1026.5    9.9  15.625
    6    1    5 1   1014.5   10.4  15.573
    5    0    6 1    380.4    7.1  15.551
    4    3    6 1   1607.5   17.4  15.551
    7    4    0 1   1810.4   28.6  15.534
    8    1    0 1   1061.5   14.9  15.534
    8    0    1 1   1317.0   18.1  15.521
    6    5    2 1   1365.4   16.4  15.483
    5    1    6 1   1287.3   14.1  15.433
    7    4    1 1   1484.8   17.2  15.404
    8    1    1 1    534.8    5.9  15.404
    7    0    4 1    309.5    5.8  15.333
    3    2    7 1   1022.7   10.4  15.272
    6    2    5 1   1351.6   15.1  15.224
    7    1    4 1   1091.5   12.4  15.220
    5    5    4 1    792.7   14.1  15.220
    7    3    3 1    723.2    8.5  15.192
    8    2    0 1    779.2   11.6  15.188
    8    0    2 1   3415.2   47.5  15.140
    5    4    5 1   1343.1   15.1  15.112
    5    2    6 1   1749.0   18.4  15.093
    8    2    1 1   1388.6   14.1  15.066
    7    4    2 1    691.2    9.2  15.031
    8    1    2 1    992.7   10.3  15.031
    6    4    4 1   1496.1   19.0  15.000
    4    0    7 1   1543.8   21.0  14.942
    7    2    4 1   1833.0   20.9  14.893
    0    0    8 1    403.8   12.0  14.878
    6    5    3 1    941.1   12.9  14.867
    4    1    7 1   2062.2   20.5  14.837
    4    4    6 1     76.6    5.9  14.774
    1    0    8 1    456.8    6.4  14.774
    6    6    0 1   1036.6   29.4  14.760
    3    3    7 1    549.6    8.4  14.734
    8    2    2 1   2263.3   24.2  14.716
    6    3    5 1   1244.6   16.0  14.691
    1    1    8 1    746.4   10.1  14.673
    8    3    0 1   1633.0   23.4  14.658
    6    6    1 1   1768.6   34.3  14.648
    5    3    6 1   1618.0   18.6  14.573
    8    0    3 1   2842.6   44.1  14.562
    7    5    0 1   2752.6   52.4  14.559
    8    3    1 1   1736.8   18.8  14.548
    4    2    7 1   1496.3   15.4  14.534
    2    0    8 1    656.8    9.4  14.475
    8    1    3 1   1044.1   11.9  14.465
    7    4    3 1    948.0   13.1  14.465
    7    5    1 1   2543.2   33.0  14.451
    7    3    4 1   1390.8   16.6  14.393
    6    0    6 1   1618.0   27.2  14.380
    2    1    8 1    221.9    2.7  14.380
    6    6    2 1   1284.4   25.7  14.326
    7    0    5 1   1131.5   19.3  14.302
    6    1    6 1   2039.2   23.8  14.286
    8    3    2 1   1642.7   19.5  14.233
    5    5    5 1   1678.8   30.1  14.210
    7    1    5 1   1843.0   21.6  14.210
    8    2    3 1   1932.8   22.7  14.184
    7    5    2 1    631.5    9.4  14.142
    6    5    4 1    867.9   11.9  14.116
    2    2    8 1    477.8    7.0  14.103
    4    3    7 1    850.9   10.2  14.068
    5    0    7 1   2011.7   31.4  14.068
    6    4    5 1    386.2    6.0  14.031
    6    2    6 1    599.8    8.0  14.015
    3    0    8 1   1365.0   18.6  14.015
    8    4    0 1   1258.3   21.6  14.002
    5    1    7 1   1267.0   15.1  13.980
    7    2    5 1   2322.0   27.0  13.943
    5    4    6 1   2244.4   26.2  13.928
    3    1    8 1   1578.7   14.8  13.928
    9    0    0 1    322.5    8.3  13.916
    8    4    1 1    108.4    4.8  13.906
    8    0    4 1   1065.7   17.3  13.855
    6    6    3 1    202.6    6.3  13.834
    9    1    0 1    316.4    5.9  13.831
    9    0    1 1    565.8   10.3  13.822
    7    4    4 1    383.1    6.2  13.771
    8    1    4 2   2741.0   30.0  13.771
    8    3    3 1    484.8    6.6  13.750
    9    1    1 1   2884.4   32.5  13.738
    5    2    7 1    967.6   12.2  13.726
    3    2    8 1    661.9    6.5  13.676
    7    5    3 1   2473.0   30.9  13.668
    8    4    2 1   2447.2   33.1  13.630
    6    3    6 1    422.2    5.8  13.596
    7    6    0 1   1699.4   33.2  13.584
    9    2    0 1   1358.0   20.6  13.584
    9    0    2 1    698.1   11.8  13.550
    7    3    5 1   1886.4   20.9  13.530
    8    2    4 1   2134.6   21.8  13.528
    7    6    1 1    652.8    9.8  13.497
    9    2    1 1    961.9   11.5  13.497
