       0,   1.501,   6.804
       1,   1.499,   6.795
       2,   1.496,   6.782
       3,   1.494,   6.772
       4,   1.491,   6.758
       5,   1.489,   6.749
       6,   1.488,   6.743
       7,   1.485,   6.732
       8,   1.484,   6.727
       9,   1.482,   6.716
      10,   1.481,   6.712
      11,   1.481,   6.710
      12,   1.479,   6.703
      13,   1.476,   6.692
      14,   1.473,   6.678
      15,   1.472,   6.673
      16,   1.471,   6.669
      17,   1.469,   6.660
      18,   1.467,   6.650
      19,   1.466,   6.643
      20,   1.464,   6.635
      21,   1.461,   6.624
      22,   1.459,   6.614
      23,   1.458,   6.610
      24,   1.458,   6.606
      25,   1.456,   6.601
      26,   1.456,   6.600
      27,   1.455,   6.597
      28,   1.454,   6.588
      29,   1.452,   6.583
      30,   1.451,   6.575
      31,   1.450,   6.570
      32,   1.448,   6.563
      33,   1.445,   6.547
      34,   1.442,   6.536
      35,   1.442,   6.534
      36,   1.439,   6.524
      37,   1.439,   6.520
      38,   1.436,   6.510
      39,   1.436,   6.508
      40,   1.434,   6.501
      41,   1.432,   6.490
      42,   1.431,   6.485
      43,   1.429,   6.477
      44,   1.428,   6.474
      45,   1.426,   6.465
      46,   1.426,   6.462
      47,   1.423,   6.448
      48,   1.421,   6.441
      49,   1.420,   6.436
      50,   1.418,   6.426
      51,   1.416,   6.418
      52,   1.415,   6.415
      53,   1.415,   6.412
      54,   1.413,   6.405
      55,   1.410,   6.391
      56,   1.408,   6.383
      57,   1.407,   6.378
      58,   1.405,   6.370
      59,   1.404,   6.366
      60,   1.403,   6.357
      61,   1.401,   6.349
      62,   1.400,   6.344
      63,   1.398,   6.334
      64,   1.397,   6.333
      65,   1.395,   6.325
      66,   1.394,   6.318
      67,   1.393,   6.314
      68,   1.392,   6.307
      69,   1.390,   6.301
      70,   1.389,   6.296
      71,   1.386,   6.282
      72,   1.385,   6.277
      73,   1.384,   6.274
      74,   1.383,   6.266
      75,   1.381,   6.260
      76,   1.381,   6.257
      77,   1.380,   6.253
      78,   1.378,   6.248
      79,   1.378,   6.246
      80,   1.376,   6.238
      81,   1.375,   6.234
      82,   1.374,   6.228
      83,   1.374,   6.226
      84,   1.372,   6.218
      85,   1.371,   6.213
      86,   1.369,   6.204
      87,   1.368,   6.199
      88,   1.366,   6.191
      89,   1.364,   6.184
      90,   1.364,   6.182
      91,   1.363,   6.178
      92,   1.362,   6.174
      93,   1.360,   6.165
      94,   1.360,   6.162
      95,   1.357,   6.152
      96,   1.357,   6.151
      97,   1.356,   6.145
      98,   1.355,   6.141
      99,   1.354,   6.137
     100,   1.351,   6.124
     101,   1.351,   6.121
     102,   1.348,   6.111
     103,   1.347,   6.107
     104,   1.346,   6.101
     105,   1.345,   6.098
     106,   1.345,   6.094
     107,   1.344,   6.090
     108,   1.342,   6.081
     109,   1.341,   6.079
     110,   1.339,   6.071
     111,   1.339,   6.067
     112,   1.338,   6.064
     113,   1.336,   6.057
     114,   1.335,   6.050
     115,   1.333,   6.044
     116,   1.331,   6.034
     117,   1.331,   6.034
     118,   1.329,   6.023
     119,   1.328,   6.017
     120,   1.326,   6.011
     121,   1.324,   6.003
     122,   1.324,   6.002
     123,   1.323,   5.996
     124,   1.322,   5.994
     125,   1.322,   5.991
     126,   1.321,   5.987
     127,   1.320,   5.984
     128,   1.318,   5.976
     129,   1.318,   5.973
     130,   1.317,   5.970
     131,   1.316,   5.964
     132,   1.314,   5.956
     133,   1.313,   5.951
     134,   1.311,   5.942
     135,   1.310,   5.938
     136,   1.310,   5.936
     137,   1.308,   5.928
     138,   1.306,   5.921
     139,   1.306,   5.917
     140,   1.305,   5.915
     141,   1.304,   5.910
     142,   1.303,   5.905
     143,   1.302,   5.900
     144,   1.300,   5.891
     145,   1.299,   5.889
     146,   1.296,   5.875
     147,   1.296,   5.873
     148,   1.295,   5.870
     149,   1.294,   5.865
     150,   1.293,   5.860
     151,   1.293,   5.860
     152,   1.292,   5.856
     153,   1.291,   5.849
     154,   1.290,   5.847
     155,   1.289,   5.841
     156,   1.288,   5.839
     157,   1.287,   5.834
     158,   1.287,   5.831
     159,   1.286,   5.829
     160,   1.285,   5.823
     161,   1.284,   5.820
     162,   1.284,   5.820
     163,   1.282,   5.812
     164,   1.281,   5.808
     165,   1.281,   5.804
     166,   1.280,   5.802
     167,   1.278,   5.794
     168,   1.277,   5.787
     169,   1.277,   5.786
     170,   1.275,   5.777
     171,   1.274,   5.776
     172,   1.273,   5.771
     173,   1.273,   5.769
     174,   1.271,   5.763
     175,   1.270,   5.757
     176,   1.269,   5.752
     177,   1.268,   5.748
     178,   1.268,   5.746
     179,   1.267,   5.741
     180,   1.265,   5.733
     181,   1.265,   5.731
     182,   1.264,   5.728
     183,   1.264,   5.727
     184,   1.262,   5.719
     185,   1.262,   5.718
     186,   1.260,   5.710
     187,   1.260,   5.709
     188,   1.258,   5.703
     189,   1.257,   5.698
     190,   1.256,   5.693
     191,   1.255,   5.686
     192,   1.254,   5.684
     193,   1.253,   5.677
     194,   1.251,   5.671
     195,   1.250,   5.666
     196,   1.250,   5.664
     197,   1.249,   5.661
     198,   1.247,   5.654
     199,   1.246,   5.648
     200,   1.246,   5.645
     201,   1.244,   5.640
     202,   1.244,   5.638
     203,   1.244,   5.637
     204,   1.242,   5.630
     205,   1.241,   5.626
     206,   1.240,   5.621
     207,   1.239,   5.614
     208,   1.238,   5.611
     209,   1.237,   5.607
     210,   1.237,   5.606
     211,   1.236,   5.601
     212,   1.235,   5.600
     213,   1.235,   5.599
     214,   1.234,   5.591
