     280, 90.3940, 89.8548, 90.1587, 90.2259, 89.5495, 90.2294, 89.4897, 89.9305, 90.0410, 89.8637, 89.6222, 90.5936, 90.0687, 89.5111, 90.5073, 89.8775
     290, 90.2313, 89.7404, 90.0510, 90.1631, 90.0603, 90.1870, 90.0385, 90.1176, 89.9191, 89.6394, 89.4900, 90.2604, 89.6372, 89.8982, 90.1585, 89.4680
     300, 90.3183, 89.9733, 89.9363, 90.2197, 89.7505, 89.9532, 89.6700, 89.5631, 89.6480, 89.5225, 89.7206, 90.2703, 89.7018, 88.9731, 90.2384, 89.4069
     310, 90.5703, 89.8465, 89.6791, 90.0399, 89.8332, 89.8527, 90.7445, 90.0722, 89.2967, 89.9339, 89.3995, 90.2604, 89.8271, 89.2618, 90.1703, 90.1571
     320, 90.2631, 89.4874, 89.9406, 89.6685, 89.8931, 90.1347, 90.6861, 90.0815, 89.8210, 89.7425, 88.8659, 90.2371, 89.5790, 89.7076, 90.5311, 89.8072
     330, 90.2215, 90.1057, 89.9964, 89.9447, 90.1472, 89.8981, 89.9202, 90.4120, 89.6194, 89.4644, 89.4751, 89.9755, 89.6709, 90.1137, 90.0738, 90.0505
     340, 89.9337, 90.5849, 89.9386, 89.6941, 89.7989, 89.9662, 90.4614, 90.0535, 89.9184, 89.4847, 88.9494, 89.9800, 89.7168, 89.7778, 90.3731, 90.0988
     350, 89.5190, 89.9363, 90.3827, 89.7404, 90.0572, 90.0527, 89.7893, 89.9726, 90.2186, 89.8924, 88.9329, 89.7719, 89.7218, 90.1853, 90.2505, 89.8771
     360, 90.1475, 90.1558, 90.0194, 89.8108, 90.7384, 90.2829, 90.2966, 90.4753, 90.2091, 89.5829, 89.5017, 90.3325, 89.8535, 90.6331, 90.2715, 90.0934
     370, 90.0893, 90.1943, 90.0574, 89.3840, 90.4069, 90.0564, 90.4987, 90.5795, 90.1842, 89.8865, 89.4114, 90.3065, 89.2137, 90.1893, 90.0931, 90.3139
     380, 89.8527, 89.6563, 90.1982, 89.9068, 90.6169, 90.4043, 89.8584, 90.1450, 90.4539, 89.8011, 89.2245, 90.2917, 88.8822, 90.2568, 90.4026, 90.0991
     390, 90.2381, 89.3640, 90.0314, 89.7875, 90.5980, 89.5786, 89.5426, 89.8466, 90.3751, 89.6964, 89.8279, 90.1434, 89.4786, 89.6503, 90.3134, 90.0666
     400, 90.2876, 89.6974, 90.0614, 90.1025, 90.3993, 90.6673, 89.9357, 89.8241, 90.1146, 89.6667, 89.1453, 90.3972, 89.2908, 89.5331, 90.3257, 90.7491
     410, 90.2574, 88.8528, 89.8064, 89.9114, 90.1091, 89.8553, 90.2947, 90.1266, 89.8822, 89.7898, 90.1231, 90.5473, 89.6748, 89.3365, 90.1967, 89.7603
     420, 90.2405, 89.3974, 90.4604, 89.6547, 90.7525, 89.8648, 90.3413, 90.1187, 90.2764, 89.7291, 90.3588, 90.0869, 89.5928, 89.4450, 90.1806, 89.9911
     430, 89.8908, 89.2974, 89.7337, 89.5503, 89.9443, 90.4062, 91.2232, 90.1980, 90.0047, 89.8261, 90.0906, 90.2754, 89.8124, 89.4143, 89.9715, 89.8859
     440, 90.0104, 89.7303, 90.1297, 89.7642, 89.9667, 90.0509, 90.3061, 89.5646, 90.1161, 89.9638, 90.0313, 90.0382, 89.6816, 89.4882, 90.3335, 89.7381
     450, 90.0272, 90.4814, 90.2267, 89.3588, 89.9294, 89.8684, 90.2005, 89.9676, 89.8941, 89.6313, 90.6761, 90.3896, 89.9511, 89.8795, 90.0307, 89.8633
     460, 90.4104, 90.3254, 90.1262, 89.6709, 90.4091, 90.0457, 90.4598, 89.7722, 90.0561, 89.7290, 89.9334, 90.2534, 89.6206, 89.9230, 89.7226, 90.3896
     470, 90.5745, 90.6511, 90.3158, 89.6452, 90.1556, 90.0229, 90.8566, 90.0329, 90.3419, 89.5531, 90.2654, 90.7871, 89.8159, 90.0678, 90.0631, 89.6961
     480, 90.0890, 90.1004, 89.9579, 89.9489, 90.2507, 90.0019, 90.5492, 90.2322, 89.8976, 89.9932, 90.3957, 90.5622, 89.7773, 90.1516, 90.3037, 90.1731
     490, 89.6315, 90.7155, 90.0296, 89.5640, 90.1131, 89.8747, 91.0299, 90.2443, 90.0499, 89.8545, 90.0640, 90.9331, 89.7509, 90.1374, 90.4470, 90.0633
     500, 90.1648, 90.0140, 90.0671, 89.7783, 89.9185, 89.8910, 91.2262, 90.2679, 89.7586, 90.0349, 90.1337, 90.5789, 89.3648, 90.4374, 90.2575, 89.8436
     510, 90.4066, 89.8833, 90.1026, 89.8592, 90.4403, 90.2041, 90.4897, 90.0617, 89.7705, 89.8108, 90.5529, 90.1561, 89.8929, 90.3928, 90.1174, 89.8174
     520, 89.9775, 90.4457, 90.0084, 89.9591, 90.3343, 89.9711, 91.2130, 90.3546, 89.7943, 89.5873, 90.4830, 90.2151, 90.5211, 89.8465, 90.0962, 89.9188
     530, 90.4746, 89.9312, 90.2415, 89.6152, 90.2176, 90.0763, 91.2727, 90.4387, 89.4656, 89.8993, 89.8198, 90.5710, 90.0734, 90.0654, 90.1462, 90.2748
     540, 90.1354, 90.5877, 89.7882, 89.5963, 90.1591, 90.1850, 91.0796, 90.0847, 89.8313, 89.6112, 90.5529, 90.6172, 89.6358, 90.7356, 90.2938, 90.2820
     550, 90.0894, 90.4228, 89.7937, 90.2664, 89.9480, 90.1204, 90.9200, 90.0869, 89.7996, 89.6755, 89.8596, 90.3090, 89.5870, 90.4123, 90.2285, 89.9595
     560, 89.8129, 90.2568, 89.5992, 89.5646, 89.8202, 90.0372, 90.9438, 90.0478, 89.8151, 89.4839, 90.0797, 90.3406, 89.7552, 90.3804, 90.2124, 90.4610
     570, 90.2115, 89.5799, 89.7230, 89.7255, 89.6505, 90.0490, 91.1437, 89.6628, 90.1737, 89.6876, 90.0001, 90.4176, 89.6008, 90.6800, 90.6108, 90.2882
     580, 90.1716, 90.0509, 90.1082, 90.0731, 90.0283, 89.9302, 91.4644, 90.1450, 90.2989, 89.5900, 90.3831, 90.7104, 89.7655, 90.5870, 90.1885, 90.2516
     590, 90.0841, 90.3519, 90.0152, 90.0733, 90.3481, 90.1352, 91.1685, 90.3203, 90.1835, 89.7745, 90.4371, 90.6999, 90.0870, 90.2883, 90.0312, 89.9005
     600, 90.4009, 90.2422, 90.0208, 90.1036, 90.0768, 90.3075, 91.1956, 89.9365, 90.2679, 89.8169, 90.1953, 90.4088, 90.1203, 89.7429, 90.1269, 89.8226
     610, 90.3648, 90.1343, 89.8834, 89.6708, 90.4632, 89.8063, 91.4048, 90.1243, 90.4529, 89.6764, 91.1686, 90.2533, 89.8310, 89.0086, 90.4577, 89.8589
     620, 90.1161, 90.2430, 90.0034, 89.7887, 90.3125, 89.9259, 91.3577, 89.8730, 90.3053, 89.9302, 90.7225, 90.1053, 89.5342, 89.5563, 90.0519, 90.3044
     630, 90.7909, 89.7128, 89.8584, 89.9146, 90.0659, 89.9590, 91.9638, 89.7278, 90.3394, 89.4453, 90.4869, 90.5307, 89.4233, 89.6019, 90.1663, 90.0019
     640, 90.2067, 89.9068, 89.9138, 89.9891, 90.1187, 90.4180, 91.3476, 90.1216, 90.0694, 89.7146, 90.3343, 90.3934, 89.8330, 89.8774, 90.2123, 90.3848
     650, 90.3465, 89.8900, 90.0105, 89.8369, 90.0959, 90.2420, 91.5788, 90.4866, 90.0420, 89.9319, 89.6466, 90.3245, 89.8002, 90.5205, 90.0191, 90.1308
