       1,    89.8,    89.8,    89.7,    90.1,    90.5,    92.5,    92.0,    93.3,    96.0
       2,    78.8,    78.8,    72.9,    64.5,    80.3,    96.8,   135.4,   144.5,   133.2
       3,    90.8,    90.8,    90.9,    91.2,    92.9,    92.3,    92.5,    92.6,    91.7
       4,    89.5,    89.5,    89.4,    89.5,    89.1,    88.5,    88.3,    90.8,    83.1
       5,    39.5,    39.5,    28.5,    22.3,    22.1,    18.3,    12.8,    12.9,    18.7
       6,    90.5,    90.5,    90.4,    89.4,    89.0,    89.6,    90.9,    88.9,    87.9
       7,    90.3,    90.3,    90.2,    90.8,    89.7,    90.0,    90.0,    88.0,    92.6
       8,    89.8,    89.8,    89.9,    89.2,    89.6,    89.6,    91.7,    95.2,   100.6
       9,    90.5,    90.5,    90.3,    89.7,    87.7,    84.9,    86.7,    90.9,    91.4
      10,    90.1,    90.1,    90.3,    89.0,    87.9,    88.8,    84.3,    82.0,    75.2
      11,    89.6,    89.6,    90.3,    90.8,    91.6,    91.7,    88.6,    87.7,    83.2
      12,    89.7,    89.7,    89.6,    88.9,    89.5,    90.2,    91.6,    89.5,    91.9
      13,    89.6,    89.6,    89.1,    88.2,    87.8,    88.3,    89.8,    88.4,    86.1
      14,    90.4,    90.4,    89.7,    89.1,    89.7,    89.8,    87.8,    88.6,    89.2
      15,    90.6,    90.6,    90.9,    91.2,    91.8,    92.2,    90.8,    85.2,    79.7
      16,    90.0,    90.0,    90.1,    90.5,    90.3,    90.7,    92.1,    89.8,    90.0
      17,    90.3,    90.3,    90.4,    90.4,    90.9,    89.9,    87.1,    90.4,    96.0
      18,    39.5,    39.5,    28.5,    22.2,    22.3,    18.9,    13.9,    15.1,    20.0
      19,    90.1,    90.1,    90.2,    89.7,    90.5,    91.7,    91.9,    93.7,    95.0
      20,    79.9,    79.9,    72.9,    68.2,    84.0,   101.7,   132.9,   142.8,   138.0
      21,    89.9,    89.9,    90.6,    91.1,    92.2,    92.3,    91.5,    96.1,    88.0
      22,    90.7,    90.7,    90.8,    91.9,    90.9,    89.4,    88.7,    86.3,    87.6
      23,    89.8,    89.8,    90.4,    89.7,    89.5,    88.9,    88.9,    87.8,    87.1
      24,    39.7,    39.7,    28.4,    22.4,    22.9,    19.6,    13.4,    13.4,    20.7
      25,    39.9,    39.9,    28.8,    22.3,    22.4,    19.6,    13.8,    14.9,    23.5
      26,    90.1,    90.1,    90.2,    90.2,    90.7,    89.4,    87.5,    88.1,    89.2
      27,    89.3,    89.3,    89.6,    90.7,    90.4,    89.6,    88.7,    87.4,    85.1
      28,    89.2,    89.2,    89.3,    88.0,    88.9,    88.4,    89.1,    86.1,    80.8
      29,    39.8,    39.8,    28.6,    22.1,    22.1,    19.0,    13.8,    14.7,    22.5
      30,    90.1,    90.1,    90.3,    90.9,    90.2,    90.2,    90.4,    88.8,    82.6
      31,    90.7,    90.7,    90.9,    91.0,    91.9,    91.9,    88.5,    90.7,    93.0
      32,    39.7,    39.7,    28.6,    22.3,    22.4,    19.0,    13.5,    14.3,    19.7
      33,    90.3,    90.3,    90.5,    90.1,    89.4,    88.3,    87.4,    85.0,    73.7
      34,    90.4,    90.4,    90.3,    90.5,    89.5,    89.3,    89.8,    91.2,    90.9
      35,    89.5,    89.5,    89.5,    89.0,    89.5,    89.0,    87.2,    85.8,    80.8
      36,    90.3,    90.3,    90.5,    89.6,    91.4,    92.6,    95.4,    93.2,    99.6
