       1,   0.532
       2,   0.481
       3,   0.569
       4,   0.527
       5,   0.237
       6,   0.533
       7,   0.549
       8,   0.571
       9,   0.500
      10,   0.524
      11,   0.576
      12,   0.557
      13,   0.515
      14,   0.533
      15,   0.545
      16,   0.549
      17,   0.508
      18,   0.244
      19,   0.571
      20,   0.484
      21,   0.539
      22,   0.552
      23,   0.615
      24,   0.235
      25,   0.240
      26,   0.576
      27,   0.513
      28,   0.568
      29,   0.239
      30,   0.553
      31,   0.560
      32,   0.233
      33,   0.575
      34,   0.551
      35,   0.547
      36,   0.570
      37,   0.525
      38,   0.539
      39,   0.522
      40,   0.547
      41,   0.522
      42,   0.233
      43,   0.246
      44,   0.239
      45,   0.548
      46,   0.513
      47,   0.540
      48,   0.577
      49,   0.235
      50,   0.557
      51,   0.586
      52,   0.529
      53,   0.525
      54,   0.497
      55,   0.515
      56,   0.565
      57,   0.539
      58,   0.533
      59,   0.242
      60,   0.551
      61,   0.241
      62,   0.579
      63,   0.552
      64,   0.556
      65,   0.596
      66,   0.551
      67,   0.559
      68,   0.240
      69,   0.590
      70,   0.544
      71,   0.562
      72,   0.514
      73,   0.522
      74,   0.242
      75,   0.530
      76,   0.553
      77,   0.550
      78,   0.515
      79,   0.533
      80,   0.564
      81,   0.532
      82,   0.455
      83,   0.238
      84,   0.557
      85,   0.526
      86,   0.563
      87,   0.538
      88,   0.539
      89,   0.542
      90,   0.574
      91,   0.555
      92,   0.538
      93,   0.547
      94,   0.525
      95,   0.238
      96,   0.520
      97,   0.523
      98,   0.542
      99,   0.554
     100,   0.236
